Row	s_4207	Growth
YPL214C	0.999998451	1
YPL231W	0	0
YPL234C	0.999999963	1
YPL244C	1	1
YPL252C	0.999998451	1
YPL258C	0.999999821	1
YPL262W	0.998164437	1
YPL265W	1	1
YPL268W	0.999998922	1
YPL271W	0.999934327	1
YPL273W	0.999999963	1
YPL274W	1	1
YPR001W	0.999999821	1
YPR002W	0.999998922	1
YPR006C	1.004156657	1
YPR020W	0.999877246	1
YPR021C	0.990433248	1
YPR026W	0.99999831	1
YPR033C	0	0
YPR035W	0	0
YPR036W	0.999999963	1
YPR047W	0.999998488	1
YPR060C	0	0
YPR062W	0.999998451	1
YPR069C	0.999999821	1
YPR074C	0.999769505	1
YPR081C	0.994757261	1
YPR113W	0	0
YPR121W	0.99999831	1
YPR128C	0.99999831	1
YPR138C	1	1
YPR140W	0.99999831	1
YPR145W	0.999997638	1
YPR156C	1	1
YPR159W	1	1
YPR160W	0.999999859	1
YPR167C	0	0
YPR183W	0	0
YPR184W	0.999999975	1
YPR191W	0.479999201	1
YPR192W	1	1
YHR215W	1	1
YMR058W	1.000000433	1
YDR538W	1.000000433	1
YDR539W	1.000000433	1
YJR024C	0.999999963	1
YPR118W	0.999999963	1
YAR069W-A	1	1
YHR214W-F	1	1
YDL040C	0.999999963	1
YGR147C	0.999999963	1
YHR013C	0.999999963	1
YFL058W	0.999999975	1
YDR071C	0.999998488	1
YFR055W	0.999998451	1
YDL166C	1.000365876	1
YDR020C	0.999999963	1
YOL077W-A	0.999877246	1
YJR069C	0.999997156	1
YLL058W	0.999999382	1
YML082W	0.999999821	1
YLR345W	0.999999963	1
YLR446W	1.000000458	1
YMR084W	0.999998451	1
YMR110C	1.000000433	1
YNL229C	0.999998347	1
YNR027W	0.999999963	1
YOL092W	1	1
YMR323W	0.999999963	1
YOR393W	0.999998347	1
YPL281C	0.999998315	1
YBR241C	1	1
YGL104C	1	1
YCL047C	0.999999859	1
YER141W	0.999999963	1
YHL012W	0.999713583	1
YFL060C	0.999998488	1
YDR231C	0.999999859	1
YGR062C	0.999999859	1
YHR116W	0.999999859	1
YJL003W	0.999999859	1
YLL018C-A	0.999999859	1
YPL132W	0.999999859	1
YDR387C	1	1
YCR068W	0.999998347	1
YAL035W	0.999999821	1
YLL001W	0.999998922	1
YNL036W	1.000040488	1
YMR306W	0.999929178	1
YFL054C	1	1
YDR105C	1	1
YDR456W	1	1
YBR001C	1.000000433	1
YDL024C	0.999998451	1
YDL246C	0.999999963	1
YDR242W	0.999999859	1
YDR441C	1.000000433	1
YJL200C	1.000000244	1
YOR283W	1.000142193	1
YGR043C	0.999998451	1
YLR164W	0.99999831	1
YNL334C	0.999998488	1
YAL039C	1.004153645	1
YKL087C	0.999999338	1
YAL061W	0.999998451	1
YBL080C	0.999998488	1
YBL091C	0.999999859	1
YLR244C	0.999998451	1
YBR022W	0.999999963	1
YMR087W	1.000000012	1
YBR046C	0.999999963	1
YBR070C	0.999999821	1
YGL047W	0.99999831	1
YBR111C	0.999999963	1
YBR147W	1	1
YDR352W	1	1
YBR222C	0.999999963	1
YBR229C	0.999999963	1
YBR235W	1.00429067	1
YBR243C	0.999999963	1
YBR281C	0.999998451	1
YNL191W	0.999998451	1
YBR295W	0.999998488	1
YCL017C	0.999999859	1
YCR011C	0.999998347	1
YCR107W	1.000000886	1
YDL243C	1.000000379	1
YJR155W	0.999999821	1
YNL331C	1.000000886	1
YOL165C	0.999998451	1
YPL088W	0.999999963	1
YEL031W	1.000000433	1
YEL070W	0.999998347	1
YNR073C	0.999998347	1
YER010C	0.999999859	1
YER042W	1.000000433	1
YER087W	0.999998488	1
YER163C	0.999999963	1
YHL018W	0.999999821	1
YHR008C	0.999998451	1
